,ï»¿Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
155,Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good
246,Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
432,Canada,Saint Thomas,35,Good,1,Good,35,Good,3,Good,34,Good
446,Canada,Prince George,21,Good,1,Good,21,Good,1,Good,13,Good
1165,Canada,Powell River,28,Good,1,Good,28,Good,0,Good,12,Good
1370,Canada,Saint Hyacinthe,59,Moderate,2,Good,4,Good,10,Good,59,Moderate
1505,Canada,Corner Brook,35,Good,1,Good,35,Good,0,Good,25,Good
1539,Canada,Campbell River,33,Good,1,Good,33,Good,1,Good,19,Good
1598,Canada,Edmundston,75,Moderate,1,Good,30,Good,0,Good,75,Moderate
1654,Canada,Beloeil,39,Good,1,Good,26,Good,1,Good,39,Good
1887,Canada,Abbotsford,27,Good,1,Good,27,Good,4,Good,23,Good
2176,Canada,Wetaskiwin,41,Good,1,Good,41,Good,0,Good,9,Good
2597,Canada,Sarnia,37,Good,1,Good,33,Good,5,Good,37,Good
2640,Canada,Smiths Falls,46,Good,1,Good,15,Good,6,Good,46,Good
2658,Canada,Guelph,63,Moderate,2,Good,29,Good,6,Good,63,Moderate
2728,Canada,Fort Saint John,62,Moderate,2,Good,30,Good,1,Good,62,Moderate
2867,Canada,Bathurst,35,Good,1,Good,29,Good,0,Good,35,Good
2880,Canada,Cornwall,36,Good,1,Good,36,Good,0,Good,25,Good
3025,Canada,Courtenay,47,Good,1,Good,36,Good,0,Good,47,Good
3027,Canada,Cowansville,63,Moderate,1,Good,28,Good,3,Good,63,Moderate
3161,Canada,Matane,54,Moderate,0,Good,24,Good,1,Good,54,Moderate
3449,Canada,Granby,54,Moderate,2,Good,8,Good,8,Good,54,Moderate
3613,Canada,Leamington,77,Moderate,2,Good,29,Good,13,Good,77,Moderate
3827,Canada,Regina,42,Good,1,Good,33,Good,1,Good,42,Good
3901,Canada,Amherstburg,83,Moderate,1,Good,42,Good,8,Good,83,Moderate
3932,Canada,Parksville,61,Moderate,1,Good,35,Good,1,Good,61,Moderate
3989,Canada,Canmore,46,Good,1,Good,23,Good,1,Good,46,Good
4284,Canada,Salaberry De Valleyfield,37,Good,1,Good,26,Good,0,Good,37,Good
4434,Canada,Nanticoke,31,Good,1,Good,31,Good,0,Good,31,Good
4716,Canada,Terrace,24,Good,0,Good,24,Good,1,Good,11,Good
