Station Name,Latitude,Longitude
Ramada,50.585242,-111.898615
Davis Chevrolet,51.288119,-113.998284
Go Nissan South,53.421352,-113.49069
Don Wheaton Chevrolet,53.517704,-113.507252
Gasonic Instruments,51.092856,-114.043029
International Motor Cars,50.990495,-114.042414
Residence Inn,50.88028293795556,-113.9558734539673
Platinum Mitsubishi,51.07626273694107,-114.0002597533035
Nissan Sorel-Tracy,46.024209,-73.154564
Red River College,49.9193337685111,-97.20904312233732
Algonquin Moon Bed & Breakfast,45.335467,-79.136714
Amosphere Complexe Hotelier,48.55973356037567,-78.10465139021301
Arena Louis-Philippe Dalpe,45.676313,-73.433481
Assurance Romeo Bessette et Fils Inc,45.327381,-73.272159
Auberge Gouverneur Shawinigan,46.5405404,-72.75470949999999
Balls Falls Centre for Conservation,43.133157,-79.386041
Auberge la Goeliche,46.845153,-71.131891
BMR Yamachiche,46.29013734122007,-72.83629217063901
Baie-des-Sables,45.589096,-70.936382
Best Western - Belleville,44.189215,-77.396476
Best Western - Cairn Croft,43.088776,-79.101054
Best Western Plus - Cobourg Inn & Convention Centre,43.972091,-78.191994
Best Western Albert Centre-Ville,48.240888,-79.0204
Best Western Plus,46.552054,-75.476595
Best Western Plus Hotel,45.780488,-74.01704
Parc des Chutes,47.389023,-72.785041
Best Western - Inn on the Bay,44.578532,-80.936692
Cafe Morgane Jean-Xx-Iii,46.33286975052924,-72.59311847486879
Best Western - Lakeside Inn,49.761421,-94.488448
Caisse Desjardins,46.255803,-72.941361
Auberge la Seigneurie des Monts Inc,49.130298,-66.485228
Best Western - North Bay,46.266569,-79.435513
Best Western - Otonabee Inn,44.290061,-78.303055
Best Western - Pembroke Inn,45.79871,-77.116359
Centre le Sillon,47.002766,-70.813254
Best Western Plus - Dryden,49.78736,-92.83394
Château Repotel Henri IV,46.80455099219761,-71.33162500230787
Best Western Plus- Brant Park Inn,43.163715,-80.240786
Chocolaterie de l'Ile d'Orleans,46.8538613,-71.133391
Domaine & Vins Gelinas,46.38041530981631,-72.92953229916384
Ecole de Sainte-Famille,46.973152,-70.962167
Best Western Kingston - Fireside,44.246733,-76.522762
Hotel Baker,48.827861,-64.48693
Riotel Matane,48.852204,-67.524649
Best Western Plus - City Centre,45.385821,-75.732949
Hotel Gouverneur,46.34423140288962,-72.54039137168883
Best Western Plus - Mariposa Inn,44.589674,-79.422767
Best Western Plus - Milton,43.525871,-79.907297
Best Western Plus - Nor'Wester Hotel,48.316269,-89.359761
City of Brampton - Civic Centre,43.705877,-79.724262
Canadian Tire,43.174539,-79.216334
Canadian Tire,44.172474,-81.61544
Hotel Sommet des Neiges,46.210902,-74.581843
Hotel Port-Royal,46.81649,-71.2031
Hopital General Juif,45.497712,-73.628336
Comfort Inn,43.015685,-80.876688
Hotel Montfort Nicolet,46.234117,-72.633154
Independent Grocers Alliance,45.64161,-74.32741
Crabby Joe's,43.35791,-81.482192
